acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Battery Level,Timestamp,Temperature,Step,Calorie,Action,Device
0.8234757884570283,0.4607639043357241,1.7171353568812242,-28.56989206,-15.68403374,98.33302397291624,76.46,12/17/2025 23:16,36.13,251,109.52,Falling,EMA03
0.5374170118111623,2.088093567976589,1.1887775284527846,-219.8253496,74.42724805551728,-217.5128301,76.37,12/17/2025 23:17,36.34,251,112.03,Falling,EMA03
1.731234650622664,-0.815667101,0.791052887,-62.68680288,-195.9929085,-8.250902398,76.32,12/17/2025 23:18,37.1,251,114.71,Falling,EMA03
-0.344709069,1.2914276204283697,2.2477882451939033,-247.2370855,100.2671496571819,197.6973337248387,76.26,12/17/2025 23:19,37.14,251,117.81,Falling,EMA03
1.7047286824559045,1.0014774154484662,1.4584060701293633,113.71121980679908,-0.480788762,32.98031331977552,76.18,12/17/2025 23:20,37.19,251,120.05,Falling,EMA03
-2.119134624,-2.087962941,1.5903119306799265,56.36577199317321,114.95949182716635,-65.77074467,76.1,12/17/2025 23:21,36.43,251,121.18,Falling,EMA03
1.3940323231771656,-2.470565424,1.474988923812922,38.86341703171303,-103.814641,-231.0710771,76.03,12/17/2025 23:22,36.75,251,122.55,Falling,EMA03
-0.993045528,-2.187973413,1.8336455679887862,54.16489503466812,-21.14074003,45.117107679453284,75.97,12/17/2025 23:23,37.02,251,124.36,Falling,EMA03
0.24608665477042813,0.2166486009580404,1.973087077924308,-2.927661278,-194.2350366,-121.8006116,75.87,12/17/2025 23:24,36.53,251,127.19,Falling,EMA03
-1.283531899,2.2382088011031547,0.8376258690581136,-59.82151689,-33.37437084,-118.4730006,75.82,12/17/2025 23:25,36.85,251,128.62,Falling,EMA03
-2.040198982,-2.320596144,2.7467665323065935,25.871706759565313,-187.9604252,-216.0487253,75.73,12/17/2025 23:26,36.85,251,132.29,Falling,EMA03
-1.457039483,-2.354490326,1.1061384025536165,-160.7526683,-106.4554628,183.74208770312993,75.66,12/17/2025 23:27,37.17,251,133.54,Falling,EMA03
1.275191713122101,-0.224166155,2.9460739175765305,102.1714136504504,-223.1869548,39.63485876,75.59,12/17/2025 23:28,36.56,251,135.36,Falling,EMA03
-1.318696979,-0.579500241,1.1779973102648293,32.14497224096681,-213.4557232,80.13324592144039,75.51,12/17/2025 23:29,36.17,251,137.28,Falling,EMA03
